#,Couple,Dance,Song,Date,Series,Week,Order,Craig,Arlene,Darcey,Len,Alesha,Shirley,Guest,Motsi,Bruno,Total,Type
1083,Natalie & Artem,Quickstep,Yeah!,"Series 11, Week 04",11,4,9,9,-,9,8,-,-,-,-,9,35,Ballroom
1084,Patrick & Anya,Cha cha cha,Mercy,"Series 11, Week 04",11,4,10,8,-,8,9,-,-,-,-,8,33,Latin
1085,Abbey & Aljaž,Tango,Spectrum,"Series 11, Week 04",11,4,11,9,-,8,9,-,-,-,-,9,35,Ballroom
1086,Dave & Karen,Waltz,Take It To The Limit,"Series 11, Week 04",11,4,12,5,-,6,6,-,-,-,-,6,23,Ballroom
1087,Susanna & Kevin,Samba,"Whenever, Wherever","Series 11, Week 04",11,4,13,6,-,7,8,-,-,-,-,8,29,Latin
1088,Natalie & Artem,Samba,Bamboleo,"Series 11, Week 05",11,5,1,8,-,9,9,-,-,-,-,9,35,Latin
1089,Abbey & Aljaž,Foxtrot,Dear Darlin',"Series 11, Week 05",11,5,2,8,-,9,9,-,-,-,-,9,35,Ballroom
1090,Dave & Karen,Salsa,Cuban Pete,"Series 11, Week 05",11,5,3,3,-,5,5,-,-,-,-,4,17,Latin
1091,Deborah & Robin,Viennese Waltz,It's A Man's Man's Man's World,"Series 11, Week 05",11,5,4,6,-,7,7,-,-,-,-,7,27,Ballroom
1092,Patrick & Anya,Salsa,Wings,"Series 11, Week 05",11,5,5,6,-,8,7,-,-,-,-,7,28,Latin
1093,Fiona & Anton,Quickstep,If My Friends Could See Me Now,"Series 11, Week 05",11,5,6,7,-,7,8,-,-,-,-,8,30,Ballroom
1094,Rachel & Pasha,Paso doble,Maneater,"Series 11, Week 05",11,5,7,4,-,6,6,-,-,-,-,6,22,Latin
1095,Mark & Iveta,Waltz,Apologize,"Series 11, Week 05",11,5,8,7,-,7,7,-,-,-,-,7,28,Ballroom
1096,Ashley & Ola,Jive,Johnny B. Goode,"Series 11, Week 05",11,5,9,7,-,8,8,-,-,-,-,8,31,Latin
1097,Susanna & Kevin,American Smooth,Sunny Side Of The Street,"Series 11, Week 05",11,5,10,8,-,8,8,-,-,-,-,8,32,Speciality
1098,Ben & Kristina,Quickstep,I'll Be There For You,"Series 11, Week 05",11,5,11,6,-,7,7,-,-,-,-,7,27,Ballroom
1099,Sophie & Brendan,Cha cha cha,P. Y. T. (Pretty Young Thing),"Series 11, Week 05",11,5,12,7,-,8,7,-,-,-,-,8,30,Latin
1100,Patrick & Anya,Quickstep,Man With The Hex,"Series 11, Week 06",11,6,1,8,-,9,9,-,-,-,-,8,34,Ballroom
1101,Fiona & Anton,Charleston,Jeepers Creepers,"Series 11, Week 06",11,6,2,6,-,7,8,-,-,-,-,7,28,Speciality
1102,Ben & Kristina,Paso doble,Supermassive Black Hole,"Series 11, Week 06",11,6,3,7,-,8,9,-,-,-,-,8,32,Latin
1103,Sophie & Brendan,Jive,Maneater,"Series 11, Week 06",11,6,4,6,-,7,8,-,-,-,-,7,28,Latin
1104,Natalie & Artem,Viennese Waltz,Devil In Me,"Series 11, Week 06",11,6,5,9,-,10,9,-,-,-,-,10,38,Ballroom
1105,Mark & Iveta,Paso doble,I Lost My Heart To A Starship Trooper,"Series 11, Week 06",11,6,6,6,-,6,7,-,-,-,-,6,25,Latin
1106,Rachel & Pasha,American Smooth,I Put A Spell On You,"Series 11, Week 06",11,6,7,7,-,7,8,-,-,-,-,8,30,Speciality
1107,Ashley & Ola,Tango,Beautiful Monster,"Series 11, Week 06",11,6,8,8,-,9,8,-,-,-,-,8,33,Ballroom
1108,Abbey & Aljaž,Rumba,Stay,"Series 11, Week 06",11,6,9,8,-,8,9,-,-,-,-,9,34,Latin
1109,Dave & Karen,Jive,Monster Mash,"Series 11, Week 06",11,6,10,4,-,5,6,-,-,-,-,4,19,Latin
1110,Susanna & Kevin,Charleston,Bad Moon Rising,"Series 11, Week 06",11,6,11,8,-,8,9,-,-,-,-,9,34,Speciality
1111,Ben & Kristina,Jive,"Jump, Jive an' Wail","Series 11, Week 07",11,7,1,4,-,7,8,-,-,-,-,7,26,Latin
1112,Fiona & Anton,Paso doble,Song 2,"Series 11, Week 07",11,7,2,5,-,7,7,-,-,-,-,7,26,Latin
1113,Abbey & Aljaž,Charleston,Cabaret,"Series 11, Week 07",11,7,3,9,-,9,9,-,-,-,-,9,36,Speciality
1114,Mark & Iveta,Rumba,Goldfinger,"Series 11, Week 07",11,7,4,5,-,6,7,-,-,-,-,5,23,Latin
1115,Susanna & Kevin,Waltz,You Light Up My Life,"Series 11, Week 07",11,7,5,9,-,9,9,-,-,-,-,9,36,Ballroom
1116,Dave & Karen,Tango,I'm Gonna Be,"Series 11, Week 07",11,7,6,4,-,6,6,-,-,-,-,4,20,Ballroom
1117,Natalie & Artem,Jive,Proud Mary,"Series 11, Week 07",11,7,7,-,-,-,-,-,-,-,-,-,0,Latin
1118,Ashley & Ola,Quickstep,Are You Gonna Be My Girl,"Series 11, Week 07",11,7,8,8,-,9,9,-,-,-,-,9,35,Ballroom
1119,Sophie & Brendan,Argentine Tango,Sweet Dreams (Are Made Of This),"Series 11, Week 07",11,7,9,8,-,8,8,-,-,-,-,8,32,Speciality
1120,Patrick & Anya,American Smooth,It Had To Be You,"Series 11, Week 07",11,7,10,9,-,10,9,-,-,-,-,9,37,Speciality
1121,Sophie & Brendan,Quickstep,The Lady is a Tramp,"Series 11, Week 08",11,8,1,7,-,9,9,-,-,-,-,9,34,Ballroom
1122,Patrick & Anya,Samba,Copacabana,"Series 11, Week 08",11,8,2,8,-,9,9,-,-,-,-,9,35,Latin
1123,Ben & Kristina,American Smooth,Fallin',"Series 11, Week 08",11,8,3,8,-,8,8,-,-,-,-,8,32,Speciality
1124,Ashley & Ola,Paso doble,You Give Love a Bad Name,"Series 11, Week 08",11,8,4,8,-,9,9,-,-,-,-,9,35,Latin
1125,Fiona & Anton,American Smooth,Come Fly With Me,"Series 11, Week 08",11,8,5,6,-,7,8,-,-,-,-,8,29,Speciality
1126,Abbey & Aljaž,Quickstep,Walking On Sunshine,"Series 11, Week 08",11,8,6,7,-,10,10,-,-,-,-,10,37,Ballroom
1127,Mark & Iveta,Jive,You Can’t Stop the Beat,"Series 11, Week 08",11,8,7,5,-,8,8,-,-,-,-,8,29,Latin
1128,Susanna & Kevin,Paso doble,Los Toreadors,"Series 11, Week 08",11,8,8,9,-,10,10,-,-,-,-,10,39,Latin
1129,Natalie & Artem,Charleston,Bang Bang,"Series 11, Week 08",11,8,9,9,-,10,10,-,-,-,-,10,39,Speciality
1130,Susanna & Kevin,Cha cha cha, Hound Dog,"Series 11, Week 09",11,9,1,7,-,8,8,-,-,-,-,8,31,Latin
1131,Ashley & Ola,Waltz,I Will Always Love You,"Series 11, Week 09",11,9,2,8,-,9,9,-,-,-,-,9,35,Ballroom
1132,Natalie & Artem,Tango,Where Have You Been,"Series 11, Week 09",11,9,3,9,-,9,9,-,-,-,-,10,37,Ballroom
1133,Mark & Iveta,Foxtrot,It’s A Beautiful Day,"Series 11, Week 09",11,9,4,6,-,8,7,-,-,-,-,7,28,Ballroom
1134,Sophie & Brendan,Rumba,Will You Still Love Me Tomorrow,"Series 11, Week 09",11,9,5,7,-,8,8,-,-,-,-,8,31,Latin
1135,Ben & Kristina,Charleston,No Diggity,"Series 11, Week 09",11,9,6,6,-,7,7,-,-,-,-,7,27,Speciality
1136,Abbey & Aljaž,Paso doble,You Got The Love,"Series 11, Week 09",11,9,7,8,-,8,8,-,-,-,-,8,32,Latin
1137,Patrick & Anya,Viennese Waltz,A New Day Has Come,"Series 11, Week 09",11,9,8,8,-,8,8,-,-,-,-,8,32,Ballroom
1138,Patrick & Anya,Charleston,Chitty Chitty Bang Bang,"Series 11, Week 10",11,10,1,8,-,10,10,-,-,-,-,10,38,Speciality
1139,Natalie & Artem,American Smooth,And I Am Telling You I'm Not Going,"Series 11, Week 10",11,10,2,9,-,9,8,-,-,-,-,10,36,Speciality
1140,Mark & Iveta,Samba,I Just Can't Wait To Be King,"Series 11, Week 10",11,10,3,7,-,7,7,-,-,-,-,8,29,Latin
1141,Sophie & Brendan,Viennese Waltz,My Favourite Things,"Series 11, Week 10",11,10,4,9,-,9,9,-,-,-,-,9,36,Ballroom
1142,Abbey & Aljaž,Salsa,You Should Be Dancing,"Series 11, Week 10",11,10,5,10,-,10,10,-,-,-,-,10,40,Speciality
1143,Ashley & Ola,Rumba,A Whole New World,"Series 11, Week 10",11,10,6,8,-,9,9,-,-,-,-,9,35,Latin
1144,Susanna & Kevin,Quickstep,Good Morning,"Series 11, Week 10",11,10,7,7,-,8,9,-,-,-,-,9,33,Ballroom
1145,Ashley & Ola,Salsa,Conga,"Series 11, Week 11",11,11,1,8,-,9,9,-,-,-,-,9,35,Speciality
1146,Natalie & Artem,Paso doble,El Gato Montes,"Series 11, Week 11",11,11,2,9,-,9,8,-,-,-,-,9,35,Latin
1147,Patrick & Anya,Rumba,When I Was Your Man,"Series 11, Week 11",11,11,3,8,-,10,9,-,-,-,-,9,36,Latin
1148,Susanna & Kevin,Argentine Tango,Smooth Criminal,"Series 11, Week 11",11,11,4,8,-,8,8,-,-,-,-,8,32,Speciality
1149,Abbey & Aljaž,Viennese Waltz,Delilah,"Series 11, Week 11",11,11,5,9,-,9,9,-,-,-,-,10,37,Ballroom
1150,Sophie & Brendan,Tango,Material Girl,"Series 11, Week 11",11,11,6,9,-,8,8,-,-,-,-,9,34,Ballroom
1151,Natalie & Artem,Salsa,Wanna Be Startin’ Somethin',"Series 11, Week 12",11,12,1,10,-,10,10,-,-,-,-,10,40,Speciality
1152,Patrick & Anya,Waltz,Unchained Melody,"Series 11, Week 12",11,12,2,9,-,9,9,-,-,-,-,9,36,Ballroom
1153,Sophie & Brendan,Paso doble,Montagues and Capulets,"Series 11, Week 12",11,12,3,8,-,9,9,-,-,-,-,9,35,Latin
1154,Susanna & Kevin,Foxtrot,Can't Take My Eyes Off You,"Series 11, Week 12",11,12,4,9,-,9,10,-,-,-,-,10,38,Ballroom
1155,Abbey & Aljaž,Samba,Faith,"Series 11, Week 12",11,12,5,9,-,10,10,-,-,-,-,10,39,Latin
1156,Natalie & Artem,Argentine Tango,Monserrat,"Series 11, Week 12",11,12,6,9,-,9,10,-,-,-,-,10,38,Speciality
1157,Patrick & Anya,Paso doble,Because the Night,"Series 11, Week 12",11,12,7,7,-,8,9,-,-,-,-,9,33,Latin
1158,Sophie & Brendan,American Smooth,They Can’t Take That Away From Me,"Series 11, Week 12",11,12,8,8,-,9,9,-,-,-,-,10,36,Speciality
1159,Susanna & Kevin,Salsa,Move Your Feet,"Series 11, Week 12",11,12,9,8,-,8,8,-,-,-,-,8,32,Speciality
1160,Abbey & Aljaž,American Smooth,Sweet Caroline,"Series 11, Week 12",11,12,10,9,-,10,10,-,-,-,-,10,39,Speciality
1161,Susanna & Kevin,Quickstep,Good Morning,"Series 11, Week 13",11,13,1,8,-,9,10,-,-,-,-,10,37,Ballroom
1162,Abbey & Aljaž,Waltz,I'm Kissing You,"Series 11, Week 13",11,13,2,10,-,10,10,-,-,-,-,10,40,Ballroom
1163,Natalie & Artem,Cha cha cha,Rasputin,"Series 11, Week 13",11,13,3,9,-,10,10,-,-,-,-,10,39,Latin
1164,Sophie & Brendan,Viennese Waltz,My Favourite Things,"Series 11, Week 13",11,13,4,9,-,10,10,-,-,-,-,10,39,Ballroom
1165,Susanna & Kevin,Show dance,Your Song,"Series 11, Week 13",11,13,5,9,-,9,9,-,-,-,-,9,36,Speciality
1166,Abbey & Aljaž,Show dance,Sweet Child O' Mine,"Series 11, Week 13",11,13,6,9,-,10,9,-,-,-,-,10,38,Speciality
1167,Natalie & Artem,Show dance,Stepping Out With My Baby,"Series 11, Week 13",11,13,7,10,-,10,10,-,-,-,-,10,40,Speciality
1168,Sophie & Brendan,Show dance,I Wanna Dance With Somebody,"Series 11, Week 13",11,13,8,8,-,9,9,-,-,-,-,9,35,Speciality
1169,Susanna & Kevin,Paso doble,Los Toreadors,"Series 11, Week 13",11,13,9,9,-,10,10,-,-,-,-,10,39,Latin
1170,Abbey & Aljaž,Quickstep,Walking on Sunshine,"Series 11, Week 13",11,13,10,9,-,10,9,-,-,-,-,10,38,Ballroom
1171,Natalie & Artem,American Smooth,And I Am Telling You I'm Not Going,"Series 11, Week 13",11,13,11,10,-,10,10,-,-,-,-,10,40,Speciality
1172,Caroline & Pasha,Cha cha cha,Can You Feel It,"Series 12, Week 1",12,1,1,6,-,7,7,-,-,-,-,7,27,Latin
1173,Tim & Natalie,Cha cha cha,Shop Around,"Series 12, Week 1",12,1,2,3,-,5,5,-,-,-,-,5,18,Latin
1174,Jake & Janette,Tango,Toxic,"Series 12, Week 1",12,1,3,7,-,7,7,-,-,-,-,7,28,Ballroom
1175,Judy & Anton,Waltz,Mull Of Kintyre,"Series 12, Week 1",12,1,4,3,-,4,6,-,-,-,-,5,18,Ballroom
1176,Scott & Joanne,Cha cha cha,Rock DJ,"Series 12, Week 1",12,1,5,2,-,4,5,-,-,-,-,5,16,Latin
1177,Pixie & Trent,Jive,Shake It Off,"Series 12, Week 1",12,1,6,7,-,6,7,-,-,-,-,7,27,Latin
1178,Mark W & Karen,Cha cha cha,I'm Your Man,"Series 12, Week 1",12,1,7,5,-,7,6,-,-,-,-,6,24,Latin
1179,Alison & Aljaž,Cha cha cha,I'm Every Woman,"Series 12, Week 1",12,1,8,6,-,6,7,-,-,-,-,7,26,Latin
1180,Steve & Ola,Tango,Born To Be Wild,"Series 12, Week 1",12,1,9,6,-,6,7,-,-,-,-,7,26,Ballroom
1181,Jennifer & Tristan,Jive,Happy,"Series 12, Week 1",12,1,10,3,-,5,5,-,-,-,-,5,18,Latin
1182,Thom & Iveta,Waltz,You Raise Me Up,"Series 12, Week 1",12,1,11,5,-,6,6,-,-,-,-,6,23,Ballroom
1183,Sunetra & Brendan,Tango,"Bad Case of Loving You (Doctor, Doctor)","Series 12, Week 1",12,1,12,5,-,6,6,-,-,-,-,7,24,Ballroom
1184,Gregg & Aliona,Cha cha cha,Hot 'n' Cold,"Series 12, Week 1",12,1,13,3,-,5,5,-,-,-,-,5,18,Latin
1185,Frankie & Kevin,Waltz,Someone Like You,"Series 12, Week 1",12,1,14,7,-,7,8,-,-,-,-,8,30,Ballroom
1186,Simon & Kristina,Jive,"Good Golly, Miss Molly","Series 12, Week 1",12,1,15,6,-,7,7,-,-,-,-,7,27,Latin
1187,Thom & Iveta,Salsa,Hot Hot Hot,"Series 12, Week 2",12,2,1,5,-,7,7,-,-,-,-,6,25,Speciality
1188,Jennifer & Tristan,Waltz,(You Make Me Feel Like) A Natural Woman,"Series 12, Week 2",12,2,2,4,-,5,5,-,-,-,-,5,19,Ballroom
1189,Simon & Kristina,Tango,Sing,"Series 12, Week 2",12,2,3,5,-,7,7,-,-,-,-,7,26,Ballroom
1190,Gregg & Aliona,Charleston,Hey Good Looking,"Series 12, Week 2",12,2,4,3,-,5,5,-,-,-,-,5,18,Speciality
1191,Alison & Aljaž,Foxtrot,I Just Wanna Make Love To You,"Series 12, Week 2",12,2,5,5,-,5,6,-,-,-,-,6,22,Ballroom
1192,Jake & Janette,Salsa,Mambo No. 5,"Series 12, Week 2",12,2,6,8,-,9,9,-,-,-,-,9,35,Speciality
1193,Judy & Anton,Cha cha cha,She's A Lady,"Series 12, Week 2",12,2,7,2,-,5,5,-,-,-,-,5,17,Latin
1194,Caroline & Pasha,Tango,Blame,"Series 12, Week 2",12,2,8,7,-,7,7,-,-,-,-,8,29,Ballroom
1195,Tim & Natalie,Waltz,When You Wish Upon A Star,"Series 12, Week 2",12,2,9,5,-,6,6,-,-,-,-,6,23,Ballroom
1196,Sunetra & Brendan,Cha cha cha,Million Dollar Bill,"Series 12, Week 2",12,2,10,6,-,6,7,-,-,-,-,7,26,Latin
1197,Mark & Karen,American Smooth,I'm Yours,"Series 12, Week 2",12,2,11,6,-,7,7,-,-,-,-,7,27,Speciality
1198,Scott & Joanne,Tango,Stop,"Series 12, Week 2",12,2,12,4,-,5,6,-,-,-,-,5,20,Ballroom
1199,Pixie & Trent,Waltz,Come Away With Me,"Series 12, Week 2",12,2,13,8,-,9,9,-,-,-,-,9,35,Ballroom
1200,Steve & Ola,Cha cha cha,Treasure,"Series 12, Week 2",12,2,14,3,-,6,6,-,-,-,-,6,21,Latin
1201,Frankie & Kevin,Charleston,Theme from 'Happy Days',"Series 12, Week 2",12,2,15,7,-,7,8,-,-,-,-,8,30,Speciality
1202,Alison & Aljaž,Jive,Footloose,"Series 12, Week 3",12,3,1,4,-,5,6,-,-,7,-,6,28,Latin
1203,Steve & Ola,Quickstep,I Wanna Be Like You,"Series 12, Week 3",12,3,2,6,-,7,7,-,-,6,-,8,34,Ballroom
1204,Jennifer & Tristan,Foxtrot,Mamma Mia,"Series 12, Week 3",12,3,3,3,-,5,5,-,-,5,-,5,23,Ballroom
1205,Simon & Kristina,Rumba,Take My Breath Away,"Series 12, Week 3",12,3,4,4,-,6,6,-,-,7,-,7,30,Latin
1206,Judy & Anton,Quickstep,Don't Rain On My Parade,"Series 12, Week 3",12,3,5,3,-,5,5,-,-,5,-,5,23,Ballroom
1207,Tim & Natalie,Charleston,Money Money,"Series 12, Week 3",12,3,6,2,-,5,5,-,-,5,-,5,22,Speciality
1208,Caroline & Pasha,Rumba,I Don't Want To Miss A Thing,"Series 12, Week 3",12,3,7,8,-,8,8,-,-,9,-,9,42,Latin
1209,Scott & Joanne,Samba,Under The Sea,"Series 12, Week 3",12,3,8,2,-,5,5,-,-,7,-,6,25,Latin
1210,Frankie & Kevin,Paso doble,America,"Series 12, Week 3",12,3,9,8,-,9,9,-,-,10,-,9,45,Latin
1211,Jake & Janette,Waltz,The Godfather Waltz,"Series 12, Week 3",12,3,10,8,-,8,8,-,-,8,-,8,40,Ballroom
1212,Pixie & Trent,Quickstep,Be Our Guest,"Series 12, Week 3",12,3,11,7,-,9,9,-,-,9,-,9,43,Ballroom
1213,Thom & Iveta,Charleston,"New York, New York","Series 12, Week 3",12,3,12,7,-,8,8,-,-,7,-,8,38,Speciality
1214,Sunetra & Brendan,American Smooth,The Way You Look Tonight,"Series 12, Week 3",12,3,13,7,-,8,9,-,-,8,-,8,40,Speciality
1215,Mark & Karen,Paso doble,Theme from 'Superman',"Series 12, Week 3",12,3,14,6,-,6,7,-,-,9,-,7,35,Latin
1216,Frankie & Kevin,Cha cha cha,Call Me Maybe,"Series 12, Week 4",12,4,1,8,-,8,8,-,-,-,-,8,32,Latin
1217,Mark & Karen,Quickstep,Tiger Feet,"Series 12, Week 4",12,4,2,7,-,7,7,-,-,-,-,8,29,Ballroom
1218,Judy & Anton,Tango,Jealousy,"Series 12, Week 4",12,4,3,4,-,6,6,-,-,-,-,6,22,Ballroom
1219,Simon & Kristina,Charleston,My Old Man (Said Follow The Van),"Series 12, Week 4",12,4,4,7,-,8,8,-,-,-,-,8,31,Speciality
1220,Alison & Aljaz,Samba,Bootylicious,"Series 12, Week 4",12,4,5,6,-,7,7,-,-,-,-,7,27,Latin
1221,Scott & Joanne,American Smooth,Total Eclipse of the Heart,"Series 12, Week 4",12,4,6,2,-,5,4,-,-,-,-,4,15,Speciality
1222,Steve & Ola,Salsa,Jump in the Line,"Series 12, Week 4",12,4,7,6,-,7,7,-,-,-,-,7,27,Speciality
1223,Pixie & Trent,Rumba,Stay With Me,"Series 12, Week 4",12,4,8,8,-,8,8,-,-,-,-,8,32,Latin
1224,Tim & Natalie,Paso Doble,The Best,"Series 12, Week 4",12,4,9,3,-,6,5,-,-,-,-,5,19,Latin
1225,Sunetra & Brendan,Salsa,Turn the Beat Around,"Series 12, Week 4",12,4,10,6,-,7,7,-,-,-,-,7,27,Speciality
1226,Thom & Iveta,Foxtrot,Build Me Up Buttercup,"Series 12, Week 4",12,4,11,6,-,8,8,-,-,-,-,8,30,Ballroom
1227,Jake & Janette,Jive,All Shook Up,"Series 12, Week 4",12,4,12,8,-,9,8,-,-,-,-,8,33,Latin
1228,Caroline & Pasha,Quickstep,We Go Together,"Series 12, Week 4",12,4,13,8,-,8,9,-,-,-,-,8,33,Ballroom
1229,Jake & Janette,Quickstep,I'm Still Standing,"Series 12, Week 5",12,5,1,7,-,8,8,-,-,-,-,8,31,Ballroom
1230,Sunetra & Brendan,Viennese Waltz,Anyone Who Had A Heart,"Series 12, Week 5",12,5,2,7,-,7,8,-,-,-,-,8,30,Ballroom
1231,Scott & Joanne,Charleston,"Flash, Bang, Wallop","Series 12, Week 5",12,5,3,4,-,5,5,-,-,-,-,5,19,Speciality
1232,Thom & Iveta,Cha cha cha,It's My Party,"Series 12, Week 5",12,5,4,6,-,7,7,-,-,-,-,7,27,Latin
1233,Frankie & Kevin,Foxtrot,Daydream Believer,"Series 12, Week 5",12,5,5,8,-,8,8,-,-,-,-,8,32,Ballroom
1234,Alison & Aljaž,Tango,Addicted To You,"Series 12, Week 5",12,5,6,5,-,6,6,-,-,-,-,6,23,Ballroom
1235,Mark & Karen,Samba,That's The Way I Like It,"Series 12, Week 5",12,5,7,8,-,9,8,-,-,-,-,8,33,Latin
1236,Simon & Kristina,Viennese Waltz,Somebody To Love,"Series 12, Week 5",12,5,8,7,-,7,7,-,-,-,-,7,28,Ballroom
1237,Judy & Anton,Charleston,Varsity Drag,"Series 12, Week 5",12,5,9,3,-,5,5,-,-,-,-,5,18,Speciality
1238,Caroline & Pasha,Paso doble,Live and Let Die,"Series 12, Week 5",12,5,10,8,-,9,8,-,-,-,-,9,34,Latin
1239,Steve & Ola,Waltz,I Wonder Why,"Series 12, Week 5",12,5,11,7,-,8,7,-,-,-,-,8,30,Ballroom
1240,Pixie & Trent,Samba,I Yi Yi Yi Yi,"Series 12, Week 5",12,5,12,8,-,9,9,-,-,-,-,9,35,Latin
1241,Sunetra & Brendan,Jive,Tainted Love,"Series 12, Week 6",12,6,1,6,-,7,7,-,-,-,-,7,27,Latin
1242,Alison & Aljaž,American Smooth,Wuthering Heights,"Series 12, Week 6",12,6,2,5,-,7,7,-,-,-,-,7,26,Speciality
1243,Simon & Kristina,Paso doble,Poison,"Series 12, Week 6",12,6,3,6,-,8,7,-,-,-,-,8,29,Latin
1244,Steve & Ola,Charleston,Dem Bones Dem Bones,"Series 12, Week 6",12,6,4,5,-,7,7,-,-,-,-,7,26,Speciality
1245,Pixie & Trent,Tango,Danger! High Voltage,"Series 12, Week 6",12,6,5,8,-,8,8,-,-,-,-,9,33,Ballroom
1246,Judy & Anton,American Smooth,Cruella De Vil,"Series 12, Week 6",12,6,6,3,-,6,6,-,-,-,-,5,20,Speciality
1247,Jake & Janette,Paso doble,Black Betty,"Series 12, Week 6",12,6,7,6,-,7,8,-,-,-,-,8,29,Latin
1248,Caroline & Pasha,Samba,Le Freak,"Series 12, Week 6",12,6,8,7,-,8,8,-,-,-,-,9,32,Latin
1249,Scott & Joanne,Foxtrot,Theme from The Addams Family,"Series 12, Week 6",12,6,9,3,-,6,6,-,-,-,-,6,21,Ballroom
1250,Mark & Karen,Jive,Little Shop of Horrors,"Series 12, Week 6",12,6,10,8,-,9,9,-,-,-,-,9,35,Latin
1251,Frankie & Kevin,Tango,Defying Gravity,"Series 12, Week 6",12,6,11,9,-,9,9,-,-,-,-,10,37,Ballroom
1252,Simon & Kristina,Quickstep,I Got Rhythm,"Series 12, Week 7",12,7,1,7,-,9,9,-,-,-,-,8,33,Ballroom
1253,Caroline & Pasha,Waltz,Three Times A Lady,"Series 12, Week 7",12,7,2,7,-,8,8,-,-,-,-,8,31,Ballroom
1254,Jake & Janette,Rumba,Strangers In The Night,"Series 12, Week 7",12,7,3,6,-,7,7,-,-,-,-,7,27,Latin
1255,Judy & Anton,Paso doble,I Fought The Law,"Series 12, Week 7",12,7,4,3,-,5,5,-,-,-,-,5,18,Latin
1256,Sunetra & Brendan,Foxtrot,All Of Me,"Series 12, Week 7",12,7,5,7,-,8,8,-,-,-,-,8,31,Ballroom
1257,Alison & Aljaž,Charleston,Friend Like Me,"Series 12, Week 7",12,7,6,6,-,7,7,-,-,-,-,7,27,Speciality
1258,Mark & Karen,Waltz,Weekend In New England,"Series 12, Week 7",12,7,7,7,-,8,8,-,-,-,-,8,31,Ballroom
1259,Frankie & Kevin,Samba,La Bamba,"Series 12, Week 7",12,7,8,7,-,8,9,-,-,-,-,8,32,Latin
1260,Pixie & Trent,Foxtrot,When I'm Sixty-Four,"Series 12, Week 7",12,7,9,9,-,10,8,-,-,-,-,9,36,Ballroom
1261,Steve & Ola,Paso doble,Use Somebody,"Series 12, Week 7",12,7,10,6,-,8,7,-,-,-,-,7,28,Latin
1262,Frankie & Kevin,Quickstep,A Town Called Malice,"Series 12, Week 8",12,8,1,8,-,9,10,-,-,-,-,10,37,Ballroom
1263,Jake & Janette,American Smooth,Feeling Good,"Series 12, Week 8",12,8,2,9,-,9,9,-,-,-,-,9,36,Speciality
1264,Sunetra & Brendan,Samba,I Don't Feel Like Dancin',"Series 12, Week 8",12,8,3,6,-,8,8,-,-,-,-,8,30,Latin
1265,Simon & Kristina,Argentine Tango,El Tango De Roxanne,"Series 12, Week 8",12,8,4,8,-,10,10,-,-,-,-,10,38,Speciality
1266,Judy & Anton,Viennese Waltz,Let's Go Fly A Kite,"Series 12, Week 8",12,8,5,4,-,6,7,-,-,-,-,7,24,Ballroom
1267,Mark & Karen,Charleston,We Speak No Americano,"Series 12, Week 8",12,8,6,9,-,9,9,-,-,-,-,9,36,Speciality
1268,Pixie & Trent,Paso Doble,The Eve of War,"Series 12, Week 8",12,8,7,9,-,9,10,-,-,-,-,10,38,Latin
1269,Steve & Ola,American Smooth,Rolling In The Deep,"Series 12, Week 8",12,8,8,7,-,8,8,-,-,-,-,8,31,Speciality
1270,Caroline & Pasha,Jive,Crocodile Rock,"Series 12, Week 8",12,8,9,9,-,9,9,-,-,-,-,10,37,Latin
1271,Steve & Ola,Jive,Little Bitty Pretty One,"Series 12, Week 9",12,9,1,4,-,7,6,-,-,-,-,6,23,Latin
1272,Caroline & Pasha,American Smooth ,Mack The Knife,"Series 12, Week 9",12,9,2,7,-,8,9,-,-,-,-,9,33,Speciality
1273,Pixie & Trent,Charleston,Sparkling Diamonds,"Series 12, Week 9",12,9,3,9,-,9,9,-,-,-,-,10,37,Speciality
1274,Mark & Karen,Tango,Love Runs Out,"Series 12, Week 9",12,9,4,8,-,8,8,-,-,-,-,8,32,Ballroom
1275,Frankie & Kevin,Viennese Waltz,What's New Pussycat?,"Series 12, Week 9",12,9,5,9,-,9,10,-,-,-,-,10,38,Ballroom
1276,Jake & Janette,Samba,Macarena,"Series 12, Week 9",12,9,6,9,-,10,10,-,-,-,-,9,38,Latin
1277,Sunetra & Brendan,Waltz,Last Request,"Series 12, Week 9",12,9,7,7,-,7,8,-,-,-,-,8,30,Ballroom
1278,Simon & Kristina,Salsa,Let's Hear It For The Boy,"Series 12, Week 9",12,9,8,9,-,9,9,-,-,-,-,9,36,Speciality
1279,Pixie & Trent,Viennese Waltz,Tulips From Amsterdam,"Series 12, Week 10",12,10,1,9,-,9,10,-,-,-,-,10,38,Ballroom
1280,Mark & Karen,Salsa,Viva Las Vegas,"Series 12, Week 10",12,10,2,7,-,8,9,-,-,-,-,8,32,Speciality
1281,Sunetra & Brendan,Rumba,Girl From Ipanema,"Series 12, Week 10",12,10,3,5,-,7,8,-,-,-,-,7,27,Latin
1282,Caroline & Pasha,Charleston,Instanbul,"Series 12, Week 10",12,10,4,9,-,10,10,-,-,-,-,10,39,Speciality
1283,Simon & Kristina,Waltz,Edelweiss,"Series 12, Week 10",12,10,5,9,-,10,10,-,-,-,-,9,38,Ballroom
